Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Adj Close
1999-07-20,19.574588304021177,19.687027192451584,19.543923152631066,19.59503173828125,73500,0.0,0.0,0.0,19.59503173828125
1999-07-21,19.533713326317212,19.67681745324994,19.533713326317212,19.574600219726562,1900,0.0,0.0,0.0,19.574600219726562
1999-07-22,20.03457755162781,20.03457755162781,19.503047943115234,19.503047943115234,9600,0.0,0.0,0.0,19.503047943115234
1999-07-23,19.482599264452407,19.595038189903075,19.38038205949725,19.40082550048828,67100,0.0,0.0,0.0,19.40082550048828
1999-07-26,19.31904744190775,19.503038369925918,19.247495414345128,19.25771713256836,33100,0.0,0.0,0.0,19.25771713256836
1999-07-27,19.40082667746926,19.51326560974121,19.33949635077547,19.51326560974121,3000,0.0,0.0,0.0,19.51326560974121
1999-07-28,19.441712382470346,19.441712382470346,19.40082550048828,19.40082550048828,1100,0.0,0.0,0.0,19.40082550048828
1999-07-29,19.21682829497963,19.21682829497963,18.981728799881473,19.012393951416016,16800,0.0,0.0,0.0,19.012393951416016
1999-07-30,19.012399202332272,19.012399202332272,18.787521362304688,18.787521362304688,3900,0.0,0.0,0.0,18.787521362304688
1999-08-02,18.910178889803955,18.99195263635446,18.838626861572266,18.838626861572266,43800,0.0,0.0,0.0,18.838626861572266
1999-08-03,18.940847639923756,18.940847639923756,18.726191514484793,18.848852157592773,2000,0.0,0.0,0.0,18.848852157592773
1999-08-04,18.899966065870608,18.910187788999796,18.705753326416016,18.705753326416016,9500,0.0,0.0,0.0,18.705753326416016
1999-08-05,18.62397903566775,18.8181917698487,18.56264869855798,18.80797004699707,14400,0.0,0.0,0.0,18.80797004699707
1999-08-06,18.64441513923649,18.64441513923649,18.511532794494126,18.634193420410156,1500,0.0,0.0,0.0,18.634193420410156
1999-08-09,18.63419293648736,18.695523247852652,18.56264090656119,18.57286262512207,103400,0.0,0.0,0.0,18.57286262512207
1999-08-10,18.62397336959839,18.62397336959839,18.368430376052856,18.39909553527832,3600,0.0,0.0,0.0,18.39909553527832
1999-08-11,18.48087682265902,18.726198196411133,18.419546479220994,18.726198196411133,5400,0.0,0.0,0.0,18.726198196411133
1999-08-12,18.807967930623928,18.807967930623928,18.644420383401112,18.65464210510254,4400,0.0,0.0,0.0,18.65464210510254
1999-08-13,18.787516873821367,19.0021729425647,18.787516873821367,18.98172950744629,3600,0.0,0.0,0.0,18.98172950744629
